"","X.1","X","ï..Date","Open","High","Low","Close","Volume","V7"
"208",208,208,"28-Nov-14",245.35,246.69,242.52,0.0159042625305776,0.0159042625305776,0.0159042625305776
"209",209,209,"26-Nov-14",248.34,249,246.6,-0.00140978413376222,-0.00140978413376222,-0.00140978413376222
"210",210,210,"25-Nov-14",247.35,249.72,246.09,-0.00553749318237528,-0.00553749318237528,-0.00553749318237528
"211",211,211,"24-Nov-14",245.2,247.6,240.64,-0.016098406905307,-0.016098406905307,-0.016098406905307
"212",212,212,"21-Nov-14",252.21,252.78,242.17,0.0241318756185916,0.0241318756185916,0.0241318756185916
"213",213,213,"20-Nov-14",247.95,250.93,246,-0.00390774996219515,-0.00390774996219515,-0.00390774996219515
"214",214,214,"19-Nov-14",250.61,251.88,245.6,0.0394163085322654,0.0394163085322654,0.0394163085322654
"215",215,215,"18-Nov-14",255.86,259.99,255.51,-0.0145405938974321,-0.0145405938974321,-0.0145405938974321
"216",216,216,"17-Nov-14",257.49,259,252.02,0.0183362528175048,0.0183362528175048,0.0183362528175048
"217",217,217,"14-Nov-14",250,258.85,248.5,-0.0273538744371219,-0.0273538744371219,-0.0273538744371219
"218",218,218,"13-Nov-14",250.62,255.75,250.25,-0.0103834798731354,-0.0103834798731354,-0.0103834798731354
"219",219,219,"12-Nov-14",249.72,252.34,245.58,0.0079171911811963,0.0079171911811963,0.0079171911811963
"220",220,220,"11-Nov-14",242.55,251.82,242,-0.0371231853336349,-0.0371231853336349,-0.0371231853336349
"221",221,221,"10-Nov-14",239.11,242.88,236.8,-0.00717651846981305,-0.00717651846981305,-0.00717651846981305
"222",222,222,"7-Nov-14",242.19,242.84,237.2,0.00423747050921372,0.00423747050921372,0.00423747050921372
"223",223,223,"6-Nov-14",234.49,246.69,228.5,-0.043421548197029,-0.043421548197029,-0.043421548197029
"224",224,224,"5-Nov-14",241,241.36,230.53,0.0338827900443714,0.0338827900443714,0.0338827900443714
"225",225,225,"4-Nov-14",240.49,242.35,236.53,0.0152021535425219,0.0152021535425219,0.0152021535425219
"226",226,226,"3-Nov-14",243,247.56,241.32,-0.00367548783552384,-0.00367548783552384,-0.00367548783552384
"227",227,227,"31-Oct-14",242.51,243.12,238.75,-0.0126573427679276,-0.0126573427679276,-0.0126573427679276
"228",228,228,"30-Oct-14",238.14,240.5,235.06,-0.00234919144869251,-0.00234919144869251,-0.00234919144869251
"229",229,229,"29-Oct-14",241.13,241.5,235.64,0.0194237395741985,0.0194237395741985,0.0194237395741985
"230",230,230,"28-Oct-14",229.6,244.6,228.25,-0.0909247035983498,-0.0909247035983498,-0.0909247035983498
"231",231,231,"27-Oct-14",234.25,234.61,220.31,0.0594164801230894,0.0594164801230894,0.0594164801230894
"232",232,232,"24-Oct-14",236.27,237.8,231.2,0.000212526300929413,0.000212526300929413,0.000212526300929413
"233",233,233,"23-Oct-14",234.66,236.28,232,-0.0179682786123498,-0.0179682786123498,-0.0179682786123498
"234",234,234,"22-Oct-14",233.19,237.39,230.56,0.0181807597554479,0.0181807597554479,0.0181807597554479
"235",235,235,"21-Oct-14",234.27,235.39,230.8,-0.0209105749133837,-0.0209105749133837,-0.0209105749133837
"236",236,236,"20-Oct-14",226.72,232.4,225.51,-0.0130583796838003,-0.0130583796838003,-0.0130583796838003
"237",237,237,"17-Oct-14",233.38,234.77,226.55,-0.00497984855663128,-0.00497984855663128,-0.00497984855663128
"238",238,238,"16-Oct-14",219.72,229.92,219.1,0.014691635813085,0.014691635813085,0.014691635813085
"239",239,239,"15-Oct-14",220,230.99,217.32,-0.0115598099586649,-0.0115598099586649,-0.0115598099586649
"240",240,240,"14-Oct-14",228.25,232.47,223,-0.0109377820207562,-0.0109377820207562,-0.0109377820207562
"241",241,241,"13-Oct-14",238.57,238.96,221,0.0534038044619679,0.0534038044619679,0.0534038044619679
"242",242,242,"10-Oct-14",244.64,245.89,235.2,0.081434672466463,0.081434672466463,0.081434672466463
"243",243,243,"9-Oct-14",262.25,265.54,254.4,0.00879356418922949,0.00879356418922949,0.00879356418922949
"244",244,244,"8-Oct-14",260.1,262.88,252.64,0.00111785691509592,0.00111785691509592,0.00111785691509592
"245",245,245,"7-Oct-14",258.53,261.46,255.73,0.00403699196837209,0.00403699196837209,0.00403699196837209
"246",246,246,"6-Oct-14",259.13,262.49,257.8,-0.0209766720608573,-0.0209766720608573,-0.0209766720608573
"247",247,247,"3-Oct-14",253.06,256.5,251.03,-0.0149618881692178,-0.0149618881692178,-0.0149618881692178
"248",248,248,"2-Oct-14",250.2,252.79,245.36,-0.0454864238116101,-0.0454864238116101,-0.0454864238116101
